T-13 알비스	T-13 Alvis
T-13 알비스을 지급합니다	Given T-13 Alvis
AO-2 레이븐	AO-2 Raven
AO-2 레이븐을 지급합니다	Given AO-2 Raven
T-12 베라을 지급합니다	Given T-12 Bheur
다크엘븐 포레스트레인저을 지급합니다	Given DarkElven ForestRanger
T-13 알비스를 영입합니다.	Recruit T-13 Alvis
AO-2 레이븐을 영입합니다.	Recruit AO-2 Raven
(연구) 현장 지휘 모듈_스테이지 클리어	(Research) Field Command System_Stage Clear
(연구) 현장 지휘 모듈_지휘 숙련도 달성	(Research) Field Command System_Attain Commander Level
(연구) AGS 제작 설비_로봇 획득	(Research) AGS Production Facility_Obtain Robots
(연구) 특수 제작_바이오로이드 제작	(Research) Special Production_Bioroid Production
(연구) 특수 제작_S등급바이오로이드 제작	(Research) Special Production_S-Class Bioroid Production
(연구) 특수 제작_중장형 획득	(Research) Special Production_Heavy-type
(연구) 함내 기반 시설_1-3클리어	(Research) Base Infrastructure_1-3 Clear
함내 사령실 활성화	Activate Command Room
